Magic skill,Spell,Type,Action phase Target,Action phase Effect,Personal combat encounters effect,Battle magic phase effect,Engine reference (GM portal)
Illusory,Illusory Terrain,Action,"The province the caster is in, or an adjacent province.","To all enemy players the province appears as a different random terrain on their map (a sea province may look like land and a land province may look like sea). Enemy players fighting a battle in the province fight at 80% of their normal strength. It has a 20% chance to dissipate naturally each turn. If an enemy hero moves into the province the illusion is dispelled - but only at the END of that turn, so it still holds for the remainder of the turn they arrive.",NONE,NONE,fn illusory_terrain | target:province | phase:true encounter:false | enemy-entry dispel deferred to turn end v2026.07.18-1442
Illusory,Phantasmal Armies,Action,"The caster themselves, or a friendly character who is leading armies and is in the same province during that phase.","Illusory soldiers march with the target for the rest of the turn, increasing the strength of the armies they directly lead in battle by 10% per level of the caster. Not cumulative - the strongest casting applies.",NONE,NONE,"fn illusory_phantasmal | target:character | phase:true encounter:false | sets _phantasmalBonus, read by armStr | all caster-level effect scaling capped at level 5 v2026.09.06-2040"
Illusory,Hide Features,Action,A province the caster is in or adjacent to which contains one or more features the player has already discovered.,"ALL discovered, not-already-hidden features in the target province become invisible to explorers. Each hidden feature has a 10% chance to be revealed again each turn.",NONE,NONE,fn illusory_hide_feature | target:province | phase:true encounter:false | renamed from 'Hide Feature' v2026.07.18-1442
Illusory,Invisibility,Combat,NONE,NONE,"The caster becomes twice as hard to hit by archery or melee for the duration of the combat, gains +30% to Flee an encounter, and gains +15% to a Steal attempt made later in the same encounter plan.",NONE,fn illusory_invisibility | phase:false encounter:true | made selectable v2026.07.18-1442
Illusory,Mirror Image,Combat,NONE,NONE,"The caster creates a mirror-image illusion of the opponent and sends the phantasm into combat. To the opponent the phantasm is real and initially has exactly the same characteristics as when the spell was cast. The two mirror images fight it out while the caster concentrates on the illusion and performs no other action. If another Mirror Image is cast while the illusion is fighting, both illusions dissipate. Before each combat round the victim may disbelieve the illusion, ending it: the chance per round depends on the monster's difficulty (in feature combat), or against a character equals 4 times the total of all the opponent's skill levels.",NONE,fn illusory_mirror | phase:false encounter:true
Elemental,Lightning Bolt,Combat,NONE,NONE,2-4 damage per level of the caster's Elemental skill (level capped at 5) to the opponent.,A number of enemy army units equal to the caster's skill level (capped at 5) each lose 20% of their base strength for the duration of the battle.,fn elemental_lightning | phase:false encounter:true | battle-magic eligible | combat damage raised from 1-3 to 2-4 v2026.07.18-1442 | level cap 5 on all effects v2026.09.06-2040
Elemental,Fireball,Combat,NONE,NONE,Burns the target for damage equal to 10% of its maximum health each combat round for the next three rounds.,The enemy's STRONGEST army unit has its base strength halved for the remainder of the battle.,"fn elemental_fireball | phase:false encounter:true | battle-magic eligible | NOTE: implementation targets the strongest unit, not a random one"
Elemental,Earthquake,Action,"The province the caster is in, or an adjacent province.",The province provides no tax revenue at the end of the turn in which it was cast.,NONE,NONE,fn elemental_earthquake | target:province | phase:true encounter:false
Elemental,Flood,Action,"The province the caster is in, or an adjacent province. The target must be a land province.",The target province acts as a sea province for the rest of the turn: land armies there are stranded and only fleets may pass through it. Cancels a Part Sea on the same tile. The original land terrain is restored at the end of the turn.,NONE,NONE,fn elemental_flood | target:province | phase:true encounter:false
Elemental,Elemental Summon,Action,No target - the elemental is summoned to the caster in the province they occupy.,"Summons one random elemental army unit at Veteran quality to fight under the caster for the rest of the turn, after which it dissolves. One of Air Elemental, Fire Elemental, Earth Elemental, Water Elemental or Darkness Elemental. Only one elemental may be summoned per caster per turn. If summoned in a contested province it triggers the usual battle / province-claim check.",NONE,NONE,"fn elemental_summon | target:none | phase:true encounter:false | quality Veteran, _temporary:true"
Necromancy,Control Undead,Action & Combat,"EITHER a neutral or enemy character standing in the caster's province during that phase, OR the caster's own province (choose the province-scan option when giving the order).","Cast on a character: takes control of one random undead army unit from the target, if they have any; the unit now serves the caster and triggers the usual battle / province-claim check. Cast on the caster's own province: the caster senses the battlefield dead lying there and is told which fallen army units are present, grouped by quality and type - i.e. what Skeletal Armies could raise.","If the target is an undead monster or undead character, they cannot take any action for a number of rounds equal to the caster's Necromancy level.",One random enemy undead army unit defects to the caster's side.,fn necromancy_control | target:character or extra='__scan__' | phase:true encounter:true | battle-magic eligible | province-scan mode added v2026.07.18-1442 | all caster-level effect scaling capped at level 5 v2026.09.06-2040
Necromancy,Skeletal Armies,Action,The province the caster is in (no target needs to be chosen when giving the order). The province must contain battlefield graves.,"Raises one random fallen army unit from the province's battlefield graves as a Skeletal (Undead) version of that unit, under the caster's command at 1 gold upkeep. Skeletal units can NEVER be promoted. Triggers the usual battle / province-claim check.",NONE,NONE,fn necromancy_skeletal | target:none | phase:true encounter:false | sets _isSkeletal (blocks all promotion paths) | all caster-level effect scaling capped at level 5 v2026.09.06-2040
Necromancy,Curse,Action & Combat,A neutral or enemy character standing in the caster's province during that phase.,The target's highest skill is halved (rounded down) for the remainder of the turn.,"The target's best combat ability (the abilities usable in a combat encounter plan - melee, archery, or their best magic school) is halved (rounded down) for the duration of the combat.","The enemy commander's best combat-affecting skill - Tactical, Druid or Naval - is halved (rounded down) for the duration of the battle.",fn necromancy_curse | target:character | phase:true encounter:true | battle-magic eligible | Naval added to the battle-magic candidates v2026.07.18-1442
Necromancy,Hand of Death,Combat,NONE,NONE,A 10% chance per level of the caster's Necromancy skill to deal damage equal to 50% of the target's maximum health.,NONE,fn necromancy_hand | phase:false encounter:true | all caster-level effect scaling capped at level 5 v2026.09.06-2040
Necromancy,Plague,Action,"The province the caster is in, or an adjacent province.","Each army unit in the province has a 10% chance, plus a further 10% per level of the caster, of losing one experience level. A unit that survives a plague is immunised and has only half the normal chance of being affected in future. Only units of the four humanoid races are affected. In each following phase there is a 15% chance per adjacent province that the plague spreads, and it may keep spreading each phase until the end of the turn. Casting more than one Plague is not cumulative, and only one Plague may affect a province per turn.",NONE,NONE,fn necromancy_plague | target:province | phase:true encounter:false | replaced the old 'Kill Enemy' spell | all caster-level effect scaling capped at level 5 v2026.09.06-2040
